question_id,text,properties,question_answer_id,question_id,answer,part_no
276,Which among the choices is the correct phrasal verb?,"choices=""result to"",""result in"",""result with""",296,276,result in,1
277,Which among the choices is the correct phrasal verb?,"choices=""share to"",""share with"",""share from""",298,277,share with,1
278,Which among the choices is the correct phrasal verb?,"choices=""sympathize with"",""sympathize at"",""sympathize to""",299,278,sympathize with,1
279,Which among the choices is the correct phrasal verb?,"choices=""believe at"",""believe in"",""believe on""",300,279,believe in,1
280,Which among the choices is the correct phrasal verb?,"choices=""made of"",""made at"",""made to""",301,280,made of,1
281,Which among the choices is the correct phrasal verb?,"choices=""agree on a plan"",""agree to a plan"",""agree at a plan""",303,281,agree on a plan,1
282,Which among the choices is the correct phrasal verb?,"choices=""compare to"",""compare on"",""compare from""",304,282,compare to,1
283,Which among the choices is the correct phrasal verb?,"choices=""conform to"",""conform on"",""conform in""",305,283,conform to,1
284,Which among the choices is the correct phrasal verb?,"choices=""rely on"",""rely to"",""rely in""",306,284,rely on,1
285,Which among the choices is the correct phrasal verb?,"choices=""dispose of"",""dispose to"",""dispose in""",307,285,dispose of,1
286,Which among the choices is the correct phrasal verb?,"choices=""take advantage of"",""take advantage to"",""take advantage on""",308,286,take advantage of,1
287,Which among the choices is the correct phrasal verb?,"choices=""taken care of"",""taken cared of"",""took cared of""",309,287,taken care of,1
288,Which among the choices is the correct phrasal verb?,"choices=""interest in"",""interest on"",""interest at""",310,288,interest in,1
289,Which among the choices is the correct phrasal verb?,"choices=""cope up with"",""cope with"",""cope on with""",311,289,cope with,1
290,Which among the choices is the correct phrasal verb?,"choices=""avail of"",""avail on"",""avail at""",312,290,avail of,1
